year,measure_family,source_label,bucket,value_musd,pct_of_year_departmental,source_id,note
2014,deptexp,DUHMD/ PS,infrastructure,8.556,3.17,books,Downtown and University Hill Management Division / Parking Services -- mostly parking operations and district management. Renamed Community Vitality from 2016.
2014,deptexp,Open Spaceand Mountain Parks,parks_openspace,26.622,9.88,books,
2014,deptexp,Parks and Recreation,parks_openspace,26.009,9.65,books,
2014,deptexp,Library and Arts,community_services,8.147,3.02,books,
2014,deptexp,Human Services,community_services,6.689,2.48,books,"Human services without housing. 2013-2015 print housing as a slice of its own, also community_services; 2016-2018 fold it into Planning, Housing and Sustainability, in planning_climate. The other years combine the two."
2014,deptexp,Housing,community_services,5.142,1.91,books,"Human services without housing. 2013-2015 print housing as a slice of its own, also community_services; 2016-2018 fold it into Planning, Housing and Sustainability, in planning_climate. The other years combine the two."
2014,deptexp,Community Planning and Sustainability,planning_climate,7.963,2.95,books,
2014,deptexp,ESand EUD,planning_climate,2.312,0.86,books,"Energy Strategy and Electric Utility Development -- the municipalization effort. Bucketed as climate and energy policy rather than as a utility operation, because the city never owned the utility. Printed as ES and EUD in 2013-2015, Energy in 2018 and Energy Strategy in 2019, with no line of its own in 2016-2017."
2014,deptexp,Internal Services,administration,14.821,5.5,books,"The 2018 book defines it as Finance, HR, IT, General Fund capital and other -- mostly administration, but it carries some capital, so this bucket is not purely overhead."
2014,deptexp,General Governance,administration,10.214,3.79,books,
2014,deptexp,Citywide Debt,citywide_debt,5.112,1.9,books,"General Fund debt only. The pie's own note says non-General-Fund debt service sits inside the departments, which is true in 2011 too, so the bucket is consistent -- but it is not all of the city's debt service."
2015,deptexp,Police,public_safety,33.666,10.55,books,
2015,deptexp,Fire,public_safety,18.151,5.69,books,
2015,deptexp,Public Works,infrastructure,132.531,41.53,books,"One undivided slice, and the reason the buckets are this coarse. It holds what later becomes Transportation and Mobility, Utilities and Facilities and Fleet; the books split Public Works three ways in their STAFFING tables but never in the spending pie."
2015,deptexp,DUHMD/PS,infrastructure,12.123,3.8,books,Downtown and University Hill Management Division / Parking Services -- mostly parking operations and district management. Renamed Community Vitality from 2016.
2015,deptexp,Open Space and Mountain Parks,parks_openspace,29.712,9.31,books,
2015,deptexp,Parks and Recreation,parks_openspace,25.076,7.86,books,
2015,deptexp,Library and Arts,community_services,8.226,2.58,books,
2015,deptexp,Human Services,community_services,6.728,2.11,books,"Human services without housing. 2013-2015 print housing as a slice of its own, also community_services; 2016-2018 fold it into Planning, Housing and Sustainability, in planning_climate. The other years combine the two."
2015,deptexp,Housing,community_services,4.956,1.55,books,"Human services without housing. 2013-2015 print housing as a slice of its own, also community_services; 2016-2018 fold it into Planning, Housing and Sustainability, in planning_climate. The other years combine the two."
2015,deptexp,Community Planning and Sustainability,planning_climate,8.644,2.71,books,
2015,deptexp,ESand EUD,planning_climate,6.943,2.18,books,"Energy Strategy and Electric Utility Development -- the municipalization effort. Bucketed as climate and energy policy rather than as a utility operation, because the city never owned the utility. Printed as ES and EUD in 2013-2015, Energy in 2018 and Energy Strategy in 2019, with no line of its own in 2016-2017."
2015,deptexp,Internal Services,administration,16.009,5.02,books,"The 2018 book defines it as Finance, HR, IT, General Fund capital and other -- mostly administration, but it carries some capital, so this bucket is not purely overhead."
2015,deptexp,General Governance,administration,11.227,3.52,books,
2015,deptexp,Citywide Debt,citywide_debt,5.105,1.6,books,"General Fund debt only. The pie's own note says non-General-Fund debt service sits inside the departments, which is true in 2011 too, so the bucket is consistent -- but it is not all of the city's debt service."
2016,deptexp,Police,public_safety,34.037,10.39,books,
2016,deptexp,Fire,public_safety,18.629,5.68,books,
2016,deptexp,Public Works,infrastructure,133.533,40.75,books,"One undivided slice, and the reason the buckets are this coarse. It holds what later becomes Transportation and Mobility, Utilities and Facilities and Fleet; the books split Public Works three ways in their STAFFING tables but never in the spending pie."
2016,deptexp,Community Vitality,infrastructure,12.123,3.7,books,"DUHMD/Parking Services under its later name. Chiefly parking and district management, which is why it sits with infrastructure rather than with planning, though it also carries economic vitality work."
2016,deptexp,Open Spaceand Mountain Parks,parks_openspace,34.251,10.45,books,
2016,deptexp,Parks and Recreation,parks_openspace,25.355,7.74,books,
2016,deptexp,Library and Arts,community_services,8.514,2.6,books,
2016,deptexp,Human Services,community_services,7.097,2.17,books,"Human services without housing. 2013-2015 print housing as a slice of its own, also community_services; 2016-2018 fold it into Planning, Housing and Sustainability, in planning_climate. The other years combine the two."
2016,deptexp,"Planning, Housing and Sustainability",planning_climate,14.234,4.34,books,"Absorbs HOUSING, which sits in community_services in the other years, so across 2016-2018 those two buckets trade housing's budget -- about $5M a year when 2013-2015 print it separately."
2016,deptexp,Internal Services,administration,21.798,6.65,books,"The 2018 book defines it as Finance, HR, IT, General Fund capital and other -- mostly administration, but it carries some capital, so this bucket is not purely overhead."
2016,deptexp,General Governance,administration,13.027,3.98,books,
2016,deptexp,Citywide Debt,citywide_debt,5.101,1.56,books,"General Fund debt only. The pie's own note says non-General-Fund debt service sits inside the departments, which is true in 2011 too, so the bucket is consistent -- but it is not all of the city's debt service."
2017,deptexp,Police,public_safety,34.76,10.8,books,
2017,deptexp,Fire,public_safety,19.092,5.93,books,
2017,deptexp,Public Works,infrastructure,120.033,37.29,books,"One undivided slice, and the reason the buckets are this coarse. It holds what later becomes Transportation and Mobility, Utilities and Facilities and Fleet; the books split Public Works three ways in their STAFFING tables but never in the spending pie."
2017,deptexp,Community Vitality,infrastructure,11.098,3.45,books,"DUHMD/Parking Services under its later name. Chiefly parking and district management, which is why it sits with infrastructure rather than with planning, though it also carries economic vitality work."
2017,deptexp,Open Space and Mountain Parks,parks_openspace,33.658,10.46,books,
2017,deptexp,Parks and Recreation,parks_openspace,27.321,8.49,books,
2017,deptexp,Library and Arts,community_services,9.329,2.9,books,
2017,deptexp,Human Services,community_services,7.774,2.42,books,"Human services without housing. 2013-2015 print housing as a slice of its own, also community_services; 2016-2018 fold it into Planning, Housing and Sustainability, in planning_climate. The other years combine the two."
2017,deptexp,"Planning, Housing and Sustainability",planning_climate,15.178,4.72,books,"Absorbs HOUSING, which sits in community_services in the other years, so across 2016-2018 those two buckets trade housing's budget -- about $5M a year when 2013-2015 print it separately."
2017,deptexp,Internal Services,administration,24.016,7.46,books,"The 2018 book defines it as Finance, HR, IT, General Fund capital and other -- mostly administration, but it carries some capital, so this bucket is not purely overhead."
2017,deptexp,General Governance,administration,14.502,4.51,books,
2017,deptexp,Citywide Debt,citywide_debt,5.105,1.59,books,"General Fund debt only. The pie's own note says non-General-Fund debt service sits inside the departments, which is true in 2011 too, so the bucket is consistent -- but it is not all of the city's debt service."
2018,deptexp,Police,public_safety,35.762,9.19,booksocr,
2018,deptexp,Fire,public_safety,20.651,5.31,booksocr,
2018,deptexp,Public Works,infrastructure,170.485,43.8,booksocr,"One undivided slice, and the reason the buckets are this coarse. It holds what later becomes Transportation and Mobility, Utilities and Facilities and Fleet; the books split Public Works three ways in their STAFFING tables but never in the spending pie."
2018,deptexp,Community Vitality,infrastructure,12.921,3.32,booksocr,"DUHMD/Parking Services under its later name. Chiefly parking and district management, which is why it sits with infrastructure rather than with planning, though it also carries economic vitality work."
2018,deptexp,OSMP,parks_openspace,33.38,8.58,booksocr,
2018,deptexp,Parks & Rec.,parks_openspace,30.747,7.9,booksocr,
2018,deptexp,Human Services,community_services,10.128,2.6,booksocr,"Human services without housing. 2013-2015 print housing as a slice of its own, also community_services; 2016-2018 fold it into Planning, Housing and Sustainability, in planning_climate. The other years combine the two."
2018,deptexp,Library & Arts,community_services,9.508,2.44,booksocr,
2018,deptexp,PH&S,planning_climate,18.55,4.77,booksocr,"PH&S is Planning, Housing and Sustainability, abbreviated. Absorbs HOUSING, which sits in community_services in the other years, so across 2016-2018 those two buckets trade housing's budget -- about $5M a year when 2013-2015 print it separately."
2018,deptexp,Energy,planning_climate,0.165,0.04,booksocr,"Energy Strategy and Electric Utility Development -- the municipalization effort. Bucketed as climate and energy policy rather than as a utility operation, because the city never owned the utility. Printed as ES and EUD in 2013-2015, Energy in 2018 and Energy Strategy in 2019, with no line of its own in 2016-2017."
2018,deptexp,Internal Services,administration,24.501,6.3,booksocr,"The 2018 book defines it as Finance, HR, IT, General Fund capital and other -- mostly administration, but it carries some capital, so this bucket is not purely overhead."
2018,deptexp,General Governance,administration,15.148,3.89,booksocr,
2018,deptexp,Citywide Debt,citywide_debt,7.265,1.87,booksocr,"General Fund debt only. The pie's own note says non-General-Fund debt service sits inside the departments, which is true in 2011 too, so the bucket is consistent -- but it is not all of the city's debt service."
2019,deptexp,Public Safety,public_safety,59.227,16.74,booksocr,"2019 and 2020 do not separate police from fire; their single slices, $59.2M and $62.3M, cover both. 2021 splits them again at $36.9M and $21.3M."
2019,deptexp,Public Works,infrastructure,124.665,35.24,booksocr,"One undivided slice, and the reason the buckets are this coarse. It holds what later becomes Transportation and Mobility, Utilities and Facilities and Fleet; the books split Public Works three ways in their STAFFING tables but never in the spending pie."
2019,deptexp,Community Vitality,infrastructure,11.184,3.16,booksocr,"DUHMD/Parking Services under its later name. Chiefly parking and district management, which is why it sits with infrastructure rather than with planning, though it also carries economic vitality work."
2019,deptexp,OSMP,parks_openspace,27.551,7.79,booksocr,
2019,deptexp,Parks & Recreation,parks_openspace,26.494,7.49,booksocr,
2019,deptexp,Housing & Human Services,community_services,23.218,6.56,booksocr,
2019,deptexp,Library & Arts,community_services,10.344,2.92,booksocr,
2019,deptexp,Energy Strategy,planning_climate,8.834,2.5,booksocr,"Energy Strategy and Electric Utility Development -- the municipalization effort. Bucketed as climate and energy policy rather than as a utility operation, because the city never owned the utility. Printed as ES and EUD in 2013-2015, Energy in 2018 and Energy Strategy in 2019, with no line of its own in 2016-2017."
2019,deptexp,Planning & Sustainability,planning_climate,8.714,2.46,booksocr,
2019,deptexp,Internal Services,administration,32.701,9.24,booksocr,"The 2018 book defines it as Finance, HR, IT, General Fund capital and other -- mostly administration, but it carries some capital, so this bucket is not purely overhead."
2019,deptexp,General Governance,administration,20.814,5.88,booksocr,
2020,deptexp,Public Safety,public_safety,62.318,16.86,books,"2019 and 2020 do not separate police from fire; their single slices, $59.2M and $62.3M, cover both. 2021 splits them again at $36.9M and $21.3M."
2020,deptexp,Public Works,infrastructure,145.341,39.31,books,"One undivided slice, and the reason the buckets are this coarse. It holds what later becomes Transportation and Mobility, Utilities and Facilities and Fleet; the books split Public Works three ways in their STAFFING tables but never in the spending pie."
2020,deptexp,Community Vitality,infrastructure,12.112,3.28,books,"DUHMD/Parking Services under its later name. Chiefly parking and district management, which is why it sits with infrastructure rather than with planning, though it also carries economic vitality work."
2020,deptexp,Parks & Recreation,parks_openspace,28.784,7.79,books,
2020,deptexp,Open Space & Mountain Parks,parks_openspace,28.275,7.65,books,
2020,deptexp,Housing & Human Services,community_services,21.636,5.85,books,
2020,deptexp,Library & Arts,community_services,11.305,3.06,books,
2020,deptexp,Climate Initiatives,planning_climate,6.377,1.72,books,
2020,deptexp,Planning,planning_climate,6.203,1.68,books,
2020,deptexp,Internal Services,administration,29.044,7.86,books,"The 2018 book defines it as Finance, HR, IT, General Fund capital and other -- mostly administration, but it carries some capital, so this bucket is not purely overhead."
2020,deptexp,General Governance,administration,18.323,4.96,books,
2021,deptexp,Police,public_safety,36.887,10.79,books,
2021,deptexp,Fire - Rescue,public_safety,21.325,6.24,books,
2021,deptexp,PW - Utilities,infrastructure,84.924,24.85,books,
2021,deptexp,PW - Transportation & Mobility,infrastructure,30.84,9.02,books,
2021,deptexp,Community Vitality,infrastructure,11.719,3.43,books,"DUHMD/Parking Services under its later name. Chiefly parking and district management, which is why it sits with infrastructure rather than with planning, though it also carries economic vitality work."
2021,deptexp,Facilities & Fleet,infrastructure,6.77,1.98,books,
2021,deptexp,Parks & Recreation,parks_openspace,28.475,8.33,books,
2021,deptexp,Open Space & Mountain Parks,parks_openspace,28.306,8.28,books,
2021,deptexp,Housing & Human Services,community_services,20.053,5.87,books,
2021,deptexp,Library & Arts,community_services,9.252,2.71,books,
2021,deptexp,Planning,planning_climate,13.033,3.81,books,
2021,deptexp,Climate Initiatives,planning_climate,5.758,1.68,books,
2021,deptexp,Internal Services,administration,25.485,7.46,books,"The 2018 book defines it as Finance, HR, IT, General Fund capital and other -- mostly administration, but it carries some capital, so this bucket is not purely overhead."
2021,deptexp,General Governance,administration,16.865,4.93,books,
2021,deptexp,Municipal Court,administration,2.051,0.6,books,
2022,deptexp,Police,public_safety,40.486,8.75,books,
2022,deptexp,Fire- Rescue,public_safety,23.421,5.06,books,
2022,deptexp,Utilities,infrastructure,174.198,37.66,books,
2022,deptexp,Transportation & Mobility,infrastructure,41.851,9.05,books,
2022,deptexp,Community Vitality,infrastructure,12.992,2.81,books,"DUHMD/Parking Services under its later name. Chiefly parking and district management, which is why it sits with infrastructure rather than with planning, though it also carries economic vitality work."
2022,deptexp,Facilities & Fleet,infrastructure,10.581,2.29,books,
2022,deptexp,Open Space & Mountain Parks,parks_openspace,30.991,6.7,books,
2022,deptexp,Parks & Recreation,parks_openspace,28.19,6.09,books,
2022,deptexp,Housing & Human Services,community_services,22.489,4.86,books,
2022,deptexp,Library & Arts,community_services,11.971,2.59,books,
2022,deptexp,Planning & Development Services,planning_climate,14.204,3.07,books,"Two different things under one name: $6.2M in 2005 for the planning department, $14.2M in 2022 for the development-review enterprise fund. Same bucket, not the same department."
2022,deptexp,Climate Initiatives,planning_climate,6.373,1.38,books,
2022,deptexp,Internal Services,administration,28.691,6.2,books,"The 2018 book defines it as Finance, HR, IT, General Fund capital and other -- mostly administration, but it carries some capital, so this bucket is not purely overhead."
2022,deptexp,General Governance,administration,13.862,3.0,books,
2022,deptexp,Municipal Court,administration,2.219,0.48,books,
2024,deptexpfiltered,Police,public_safety,43.679,10.71,deptsnapshot2026,
2024,deptexpfiltered,Fire-Rescue,public_safety,27.573,6.76,deptsnapshot2026,
2024,deptexpfiltered,Police/Fire Pensions,public_safety,0.414,0.1,deptsnapshot2026,"A pension obligation rather than operations, bucketed with the departments it belongs to. Small enough not to matter either way."
2024,deptexpfiltered,Transportation and Mobility,infrastructure,56.207,13.78,deptsnapshot2026,
2024,deptexpfiltered,Facilities and Fleet,infrastructure,36.554,8.96,deptsnapshot2026,
2024,deptexpfiltered,Utilities,infrastructure,0.648,0.16,deptsnapshot2026,"Under a million dollars because the export's fund filter leaves out the utility enterprise funds. The real utility spending is in the balancing line, not here. The clearest symptom of that filter."
2024,deptexpfiltered,Parks and Recreation,parks_openspace,40.493,9.93,deptsnapshot2026,
2024,deptexpfiltered,Open Space and Mountain Parks,parks_openspace,40.366,9.9,deptsnapshot2026,
2024,deptexpfiltered,Housing and Human Services,community_services,43.949,10.78,deptsnapshot2026,
2024,deptexpfiltered,Planning and Development Services,planning_climate,16.433,4.03,deptsnapshot2026,
2024,deptexpfiltered,Climate Initiatives,planning_climate,10.95,2.69,deptsnapshot2026,No 2005 equivalent as a department; its predecessor was Environmental Affairs inside Community Planning and Sustainability.
2024,deptexpfiltered,City Manager's Office,administration,17.145,4.2,deptsnapshot2026,
2024,deptexpfiltered,Innovation and Technology,administration,9.792,2.4,deptsnapshot2026,
2024,deptexpfiltered,Finance,administration,7.081,1.74,deptsnapshot2026,
2024,deptexpfiltered,Communications and Engagement,administration,4.556,1.12,deptsnapshot2026,
2024,deptexpfiltered,City Attorney's Office,administration,4.513,1.11,deptsnapshot2026,
2024,deptexpfiltered,Human Resources,administration,4.51,1.11,deptsnapshot2026,
2024,deptexpfiltered,Municipal Court,administration,2.65,0.65,deptsnapshot2026,
2024,deptexpfiltered,City Council,administration,0.48,0.12,deptsnapshot2026,
2024,deptexpfiltered,Fundwide / Citywide,citywide_debt,39.801,9.76,deptsnapshot2026,"Citywide allocations and contingency. Partly the counterpart of the General Government line of 2005-2012, which likely holds the same kind of non-departmental items -- so administration and citywide_debt trade content across the series."
2025,deptexpfiltered,Police,public_safety,46.426,9.81,deptsnapshot2026,
2025,deptexpfiltered,Fire-Rescue,public_safety,33.952,7.17,deptsnapshot2026,
2025,deptexpfiltered,Police/Fire Pensions,public_safety,0.414,0.09,deptsnapshot2026,"A pension obligation rather than operations, bucketed with the departments it belongs to. Small enough not to matter either way."
2025,deptexpfiltered,Facilities and Fleet,infrastructure,70.932,14.98,deptsnapshot2026,
2025,deptexpfiltered,Transportation and Mobility,infrastructure,63.331,13.38,deptsnapshot2026,
2025,deptexpfiltered,Utilities,infrastructure,0.625,0.13,deptsnapshot2026,"Under a million dollars because the export's fund filter leaves out the utility enterprise funds. The real utility spending is in the balancing line, not here. The clearest symptom of that filter."
2025,deptexpfiltered,Open Space and Mountain Parks,parks_openspace,41.384,8.74,deptsnapshot2026,
2025,deptexpfiltered,Parks and Recreation,parks_openspace,38.142,8.06,deptsnapshot2026,
2025,deptexpfiltered,Housing and Human Services,community_services,53.819,11.37,deptsnapshot2026,
2025,deptexpfiltered,Planning and Development Services,planning_climate,17.539,3.7,deptsnapshot2026,
2025,deptexpfiltered,Climate Initiatives,planning_climate,11.292,2.39,deptsnapshot2026,No 2005 equivalent as a department; its predecessor was Environmental Affairs inside Community Planning and Sustainability.
2025,deptexpfiltered,City Manager's Office,administration,20.139,4.25,deptsnapshot2026,
2025,deptexpfiltered,Innovation and Technology,administration,10.714,2.26,deptsnapshot2026,
2025,deptexpfiltered,Finance,administration,7.229,1.53,deptsnapshot2026,
2025,deptexpfiltered,City Attorney's Office,administration,4.882,1.03,deptsnapshot2026,
2025,deptexpfiltered,Human Resources,administration,4.613,0.97,deptsnapshot2026,
2025,deptexpfiltered,Communications and Engagement,administration,3.849,0.81,deptsnapshot2026,
2025,deptexpfiltered,Municipal Court,administration,2.768,0.58,deptsnapshot2026,
2025,deptexpfiltered,City Council,administration,0.466,0.1,deptsnapshot2026,
2025,deptexpfiltered,Fundwide / Citywide,citywide_debt,40.931,8.65,deptsnapshot2026,"Citywide allocations and contingency. Partly the counterpart of the General Government line of 2005-2012, which likely holds the same kind of non-departmental items -- so administration and citywide_debt trade content across the series."
2026,deptexpfiltered,Police,public_safety,50.204,12.19,deptsnapshot2026,
2026,deptexpfiltered,Fire-Rescue,public_safety,31.503,7.65,deptsnapshot2026,
2026,deptexpfiltered,Police/Fire Pensions,public_safety,0.49,0.12,deptsnapshot2026,"A pension obligation rather than operations, bucketed with the departments it belongs to. Small enough not to matter either way."
2026,deptexpfiltered,Transportation and Mobility,infrastructure,56.772,13.78,deptsnapshot2026,
2026,deptexpfiltered,Facilities and Fleet,infrastructure,25.218,6.12,deptsnapshot2026,
2026,deptexpfiltered,Utilities,infrastructure,0.338,0.08,deptsnapshot2026,"Under a million dollars because the export's fund filter leaves out the utility enterprise funds. The real utility spending is in the balancing line, not here. The clearest symptom of that filter."
2026,deptexpfiltered,Open Space and Mountain Parks,parks_openspace,41.873,10.17,deptsnapshot2026,
2026,deptexpfiltered,Parks and Recreation,parks_openspace,38.655,9.38,deptsnapshot2026,
2026,deptexpfiltered,Housing and Human Services,community_services,52.883,12.84,deptsnapshot2026,
2026,deptexpfiltered,Planning and Development Services,planning_climate,20.003,4.86,deptsnapshot2026,
2026,deptexpfiltered,Climate Initiatives,planning_climate,9.604,2.33,deptsnapshot2026,No 2005 equivalent as a department; its predecessor was Environmental Affairs inside Community Planning and Sustainability.
2026,deptexpfiltered,City Manager's Office,administration,18.733,4.55,deptsnapshot2026,
2026,deptexpfiltered,Innovation and Technology,administration,10.834,2.63,deptsnapshot2026,
2026,deptexpfiltered,Finance,administration,7.241,1.76,deptsnapshot2026,
2026,deptexpfiltered,City Attorney's Office,administration,5.067,1.23,deptsnapshot2026,
2026,deptexpfiltered,Human Resources,administration,4.456,1.08,deptsnapshot2026,
2026,deptexpfiltered,Communications and Engagement,administration,3.877,0.94,deptsnapshot2026,
2026,deptexpfiltered,Municipal Court,administration,2.71,0.66,deptsnapshot2026,
2026,deptexpfiltered,City Council,administration,0.544,0.13,deptsnapshot2026,
